total_observations,kappa_star,size,mean_comp,KM1,KM2,KM1_error,KM2_error
116.0,0.4683701929948358,26.87878787878788,49.88427672766669,0.4296825795872704,0.42405915739864813,0.04245272827357432,0.047686437678817285
118.0,0.48954404525516115,28.023809523809526,49.95362526646427,0.3761385138414572,0.37742252285010086,0.11750403399316299,0.1154298852410246
120.0,0.4848308955697181,23.28125,53.06630842536651,0.33906435645387584,0.3401678491634718,0.1490094401990626,0.14770092045452965
122.0,0.4936550161578031,26.5,49.68081777117166,0.4293197012180354,0.42902815531975197,0.0691285860341046,0.06828175315075614
124.0,0.5015080994657121,23.17241379310345,48.25328888329148,0.4908253697922815,0.49652243199743284,0.015992187517016206,0.0104531672399961
126.0,0.5115570398513917,27.11627906976744,50.535235023315,0.4246182493580423,0.42414228423809874,0.09137763194375807,0.09098860076047616
128.0,0.4732289875197486,26.88,51.96513712298443,0.34751145934799305,0.3421280622976724,0.12839284439024992,0.1332766015875279
130.0,0.5226226150795055,21.585365853658537,48.640018467881255,0.40046849373362337,0.38828175931292513,0.126861097081692,0.13731252109901665
132.0,0.46864975240590073,31.473684210526315,48.87030890693341,0.3894808847707332,0.38455132327773556,0.08305339031903354,0.08792424719161404
134.0,0.5448308916978764,28.342105263157894,49.47575040176336,0.458537260257015,0.45772989406278203,0.09161791440698862,0.09094001431116977
136.0,0.4997647393826493,24.575,51.883790519679486,0.422674817793754,0.4163416476566294,0.0806290911728221,0.0863712014584224
138.0,0.47811234971026434,24.35135135135135,48.923324788094675,0.3963307831389501,0.39826448671190057,0.08647422002076639,0.08314249355797956
140.0,0.46877523004375926,24.952380952380953,48.23904769375533,0.3952292260854413,0.3989855769491146,0.07773019016621666,0.07319468215837564
142.0,0.46164183580586593,21.27659574468085,52.65789572366206,0.3970328317588906,0.39786002236907636,0.06705218348251805,0.06580208523298793
144.0,0.5018918546118931,26.026315789473685,50.75766417505986,0.40052238379810723,0.40314694164411946,0.1054048749404639,0.10292275867578762
146.0,0.5435723279115298,27.74,49.46663249767939,0.46619201829523227,0.461674406400321,0.08131557223059989,0.08486344700213193
148.0,0.5341562313611563,25.342105263157894,49.45850717075957,0.4357436201921158,0.436479477008063,0.10307419209730527,0.1013259257575893
150.0,0.4731768294193408,28.689655172413794,52.874661722113686,0.40304342775469143,0.40358040290186353,0.07466703560931615,0.07330504805150985
152.0,0.46448794363748147,26.91891891891892,50.68477536841755,0.3773256814139219,0.37221791904225193,0.08936821806686326,0.0940631915614485
154.0,0.5682623325927574,24.775,51.97416044077313,0.4759926157772341,0.4755266676668449,0.09600154904454768,0.09562696454468703
156.0,0.5079406216040421,29.186046511627907,50.256387721566234,0.4829604498140578,0.48374734072594583,0.02960758095991508,0.02818448691769135
158.0,0.5078216438844915,28.157894736842106,49.86169664325529,0.4059594505309263,0.40782542800981714,0.1054650312164423,0.10333267252846907
160.0,0.48435571696356783,28.341463414634145,52.06298420145233,0.4552714401974114,0.44687573563731253,0.03277711285362331,0.04051890605393528
162.0,0.5025579871616846,25.210526315789473,51.34637650950163,0.45286154003746665,0.44899174228827954,0.054133129273254144,0.05669338841004025
164.0,0.5098749222492066,25.176470588235293,49.66232204544042,0.3782019935588637,0.3844318050686232,0.1345550900533028,0.1278021281603936
166.0,0.46452881668884266,24.73076923076923,49.82167988012235,0.3335116810665719,0.34151165317579213,0.1335498052771055,0.12532146747774162
168.0,0.46802821324281946,25.35,48.49424006543044,0.37183097914532237,0.3710749979856748,0.0984698132242628,0.09881143852178007
170.0,0.5614649868955014,19.23076923076923,51.85198020682427,0.4517614145373582,0.45277819091282573,0.11269795615523687,0.11136166075202024
172.0,0.43409766053223653,29.473684210526315,51.072685304058716,0.400872713940243,0.3955354476240056,0.035967980173746604,0.04065819582688091
174.0,0.4851132406584179,22.366666666666667,49.45079666646822,0.4472352804243819,0.4514064279223879,0.04080497248920702,0.0367413248228862
176.0,0.5223225621711607,24.175,51.399421940305594,0.46366630091833105,0.46843590319509854,0.06123147898719204,0.05622395619470681
178.0,0.4675401345177,25.823529411764707,50.71598331278763,0.3824326643779303,0.3831374748865213,0.08832708719386557,0.08724439795650459
180.0,0.46826856004890083,23.833333333333332,48.77093525950314,0.4023648626769278,0.3801014001638804,0.06873182156628682,0.08993634675914651
182.0,0.46813674362603985,27.91304347826087,49.637665966687734,0.4221999494671701,0.420402519248205,0.04804545829363185,0.049287034955464375
184.0,0.5371210191616248,27.75609756097561,49.544811978897684,0.4656202707497523,0.4660431452010862,0.07436241285731138,0.07347763372096429
186.0,0.4754036542922435,25.790697674418606,49.95422684396851,0.4459700722833196,0.4425996256146772,0.03270443399838161,0.036166821873563265
188.0,0.4939709064923035,22.069767441860463,48.69061530211413,0.40357140643137307,0.405011005957614,0.09314596532317451,0.09167502578586731
190.0,0.45271767540444824,24.6,50.54677090745655,0.39100068080090516,0.3943208010698543,0.0628482304310628,0.05957074473795484
192.0,0.4913867407965053,26.208333333333332,49.38426758407326,0.4619363076704052,0.45814974409140913,0.032530893205605815,0.03593333212939707
194.0,0.44898412445055935,26.02127659574468,49.54379577327178,0.42002598682492576,0.4226911885644148,0.03163271426627898,0.028561886513717438
196.0,0.43594375263889673,23.463414634146343,48.985884656984254,0.4295067715119072,0.4305375965416945,0.00919352827940417,0.007752990263920727
198.0,0.4795592616349461,25.076923076923077,50.794232787116535,0.40168564131483847,0.4027042256250165,0.08060597885168183,0.07907281943606886
200.0,0.5102811135640074,23.651162790697676,48.649069779307844,0.4628088519330022,0.463342363617762,0.04953302492443478,0.04859382636494344
202.0,0.4810039500885146,24.78048780487805,48.729869214312515,0.4285842505791028,0.4267808915646051,0.05479897240130881,0.05623649802253927
204.0,0.5244160056309374,24.0,52.317807584263115,0.4205579245020161,0.420545460326783,0.10671930229105492,0.10586471624197098
206.0,0.4709228619910542,28.38095238095238,49.48968089042292,0.42148023329011003,0.42378155542229157,0.05106843830684134,0.048647179336245315
208.0,0.5057727818547207,25.5,49.17862408714338,0.4030692216091538,0.4047726048032592,0.10477814295308396,0.10299212974760774
210.0,0.5289322782469962,29.21276595744681,50.513023404955646,0.4640290157552852,0.46194130030493163,0.06772699709363907,0.06975917633050445
212.0,0.6197026894896839,24.676470588235293,48.382447252484525,0.5093026284342956,0.515873515705668,0.11321042891688009,0.10614029718028493
214.0,0.5016727467480164,25.142857142857142,49.546740405070004,0.49698138447860224,0.49391538573798044,0.007822956552561608,0.009919604857580649
216.0,0.4590931069255782,23.853658536585368,50.851739002912126,0.40841574099598543,0.4102133860311428,0.05369952515415004,0.0513413278288257
218.0,0.4959335353908223,26.6,50.63729216257219,0.4483322912949523,0.44969251678792616,0.049614134085793155,0.04820005334183958
220.0,0.3882254786838632,30.095238095238095,51.132294531464744,0.3589463230547992,0.3599209511171803,0.03147044229936528,0.030325260656971265
222.0,0.5043722080665175,22.903225806451612,47.83955192409911,0.46910713239943247,0.4695326420088994,0.03820754773222691,0.03747291714579761
224.0,0.5156591689139449,25.405405405405407,49.95020590413563,0.4586899454648089,0.46191079895451254,0.05803576164775859,0.05437695205868885
226.0,0.4604934681524462,24.34285714285714,48.22500179919253,0.42620335293476824,0.42853553708097925,0.036551144723257614,0.033982174891861366
228.0,0.5020917070511308,30.52173913043478,51.39028338684463,0.49722833110465137,0.4972892210360026,0.006722525625204744,0.006435857432127601
230.0,0.49906928720066046,28.512820512820515,49.88214020132199,0.47179603045240437,0.4720645201530104,0.02972614696821317,0.029282185527747584
232.0,0.4956564115321266,30.024390243902438,48.4760322785561,0.46564466021448075,0.46790195958482594,0.03196807142977699,0.029663002603879395
234.0,0.49983875116991844,24.347826086956523,50.74726739298992,0.47582022206727254,0.4762788265358966,0.026006779805486553,0.02535186078765889
236.0,0.5192611685650671,25.285714285714285,48.55495761142696,0.42799943782765526,0.44027520915864077,0.09280585402761705,0.08028208785902942
238.0,0.546129121241061,26.23913043478261,49.64708864107504,0.5011160769163984,0.5008709422337961,0.04696277925935082,0.04694328261350184
240.0,0.50502109135764,27.166666666666668,49.62296386617225,0.46929568511852143,0.47005608596371523,0.036971454418882235,0.03602762310370326
242.0,0.4664880085845198,24.377777777777776,50.36966166629112,0.4422882586207094,0.4428047037676698,0.026118420537147826,0.025436350675657242
244.0,0.4656398719415785,25.526315789473685,51.20084677147446,0.4312437297757554,0.4246483656323048,0.036112138752438544,0.042529822303399495
246.0,0.5035835853409723,25.88888888888889,50.13149558724477,0.4046051478376747,0.4002832772837578,0.10138832992392363,0.10542862108724671
248.0,0.4382060243846607,25.428571428571427,50.3357606390107,0.4320666576830681,0.4334433307083538,0.007668456522322604,0.006368251269012276
250.0,0.42698296401738534,24.128205128205128,49.08812846105541,0.41777582544178726,0.42184162334660413,0.010730330198932084,0.006334454071196551
252.0,0.5578262741251901,25.209302325581394,50.38356078572715,0.46568651593525684,0.4655813585501789,0.09421663449527196,0.09396766908925977
254.0,0.5529362287463973,26.634146341463413,49.95423996977746,0.43191291306516366,0.42759909308743793,0.1221528682846121,0.12635251134130265
256.0,0.4356701772398648,27.738095238095237,48.66643622475094,0.3588734276328335,0.3626913726194841,0.07755069517495286,0.07368674917870593
258.0,0.5444172768348441,27.88,50.6747152481167,0.4645599913441324,0.46689132444161885,0.08159021007891283,0.07914476754263794
260.0,0.4373789289395763,25.035714285714285,49.836531842818886,0.3968590808844659,0.39773409502588425,0.04204192525821977,0.04100221322635864
262.0,0.5315846751353728,27.175,49.003183951629275,0.4328529973913301,0.43408907541204866,0.10003692731047949,0.0987709698103303
264.0,0.5120267650235775,26.11627906976744,50.633636753518985,0.4840735710601568,0.486700103931165,0.030803183155777295,0.02815196611126198
266.0,0.5370497008011852,27.176470588235293,49.774719706876965,0.4754642152441817,0.46867565112307175,0.06310732127602706,0.06993762927485703
268.0,0.46018599859114695,20.977272727272727,49.85832869576104,0.3869495971575748,0.3901962543039872,0.07424631382915282,0.07105313152407934
270.0,0.4665005234048108,27.244444444444444,49.864212142264456,0.44823041697118504,0.44823280383276454,0.01981757360518713,0.019690637701214677
272.0,0.4155436583964043,24.147058823529413,48.44190662758837,0.4060665186362952,0.41026840699508743,0.011378861984870023,0.006920192360497184
274.0,0.4856556719075564,29.404255319148938,49.15522639807025,0.4200033015369306,0.42221257136993334,0.06684623977066372,0.06479557282296909
276.0,0.40432545761238275,23.85185185185185,47.02072448879819,0.33899681761509876,0.3384607968315516,0.06629900816200106,0.06674531644279319
278.0,0.4817750845565644,29.893617021276597,49.46575563503638,0.4160252373851038,0.41747347722302475,0.06740176887582044,0.06572446522041721
280.0,0.4831515786937872,24.18,50.726988988564564,0.4566639570221041,0.4594101202236233,0.027921849231213408,0.025104010018015686
282.0,0.5109851702941227,25.333333333333332,50.17717133991242,0.4257775238800187,0.41298377694692645,0.08729300876727611,0.09980984210606612
284.0,0.49195025047106644,23.6046511627907,49.65611485817301,0.464724891373421,0.45699492510198964,0.029315159797615214,0.03682611097845244
286.0,0.5131317083674021,22.0,50.542310222227535,0.5074510239998045,0.4983781457485824,0.008103701779994544,0.016966320808199604
288.0,0.5280924740199808,28.452380952380953,50.70659666437826,0.5216340235245835,0.5204780775362098,0.00808371818187387,0.009163879358842178
290.0,0.4589012476521441,23.833333333333332,49.54478698489767,0.4194102558066366,0.4113127903668479,0.04030941438555326,0.04828594881633595
292.0,0.4909552841038057,25.395833333333332,49.18560679576682,0.48308494802919827,0.4852917264874872,0.010196926310665565,0.007918066397861261
294.0,0.49194726893431595,27.261904761904763,51.408517591196286,0.47962548187417653,0.47359751062399413,0.014071253963824682,0.01989735390311991
296.0,0.5493294854662178,27.951219512195124,50.57413371351432,0.49929613565087183,0.4998374275265151,0.051731776274469364,0.05093039507018988
298.0,0.48542816637490105,24.617021276595743,50.14945432473502,0.45973982578027867,0.46120838463194863,0.027654521696222033,0.026005587074642237
300.0,0.4889563277021318,26.048780487804876,48.51973396562445,0.4135107613543948,0.4144594197616515,0.07717069501259813,0.07586087822808495
302.0,0.5338348417721092,26.851063829787233,49.4369516437838,0.5080748202743836,0.5109258697961891,0.027828260726704815,0.024789197145797703
304.0,0.508177386768093,21.45,50.39697444521285,0.45651696955408577,0.4582696528413668,0.05304402867030341,0.05130455044531701
306.0,0.5008375190019004,26.40740740740741,49.59949180860057,0.46056539587673045,0.46329426507812943,0.041688389907009474,0.038789961105397196
308.0,0.47387948071234287,25.851063829787233,49.98680995147927,0.44620615080650616,0.44920323282897806,0.028285281362290613,0.025317602434434636
310.0,0.5694447267059959,22.366666666666667,51.57695352843129,0.5647650371699993,0.5672195628850782,0.006471098526854213,0.003755670963341705
312.0,0.55575420472101,21.04255319148936,49.75856031195933,0.5450101456401494,0.5428793947818551,0.012684709252940896,0.01450212196293176
314.0,0.4879705083175801,24.11111111111111,49.83689484505579,0.45873609238026664,0.4559093089664008,0.030502225687032074,0.03314816016415119
316.0,0.5205878164482911,25.025,49.33717667709716,0.49027783125493574,0.4859779519101589,0.03247093307629852,0.0365345070661116
318.0,0.5301526958611155,25.555555555555557,49.27634380234741,0.46165415003579185,0.4622121840935342,0.06975266497884074,0.0692678011612627
320.0,0.4763673679303457,26.477272727272727,50.895473298402315,0.44868682084921135,0.4492183188837032,0.029116615887950736,0.028389885734947662
322.0,0.5579802109900165,24.03846153846154,49.16433907000232,0.5471123638726509,0.5399333413488399,0.012451906661934874,0.019420240904189288
324.0,0.5445478913598208,24.5,51.35099817357985,0.48558618410709686,0.4865681082916041,0.060282375561900164,0.05909592497155886
326.0,0.5287788456296535,26.0625,50.187929497448124,0.49377603438455764,0.4971762395502824,0.035973451450683785,0.03302871216104557
328.0,0.43014153759804086,21.536585365853657,48.812904193100245,0.3979188388068845,0.4005567133681624,0.03249541916024085,0.029939394379418463
330.0,0.5389766659181058,24.714285714285715,51.588835698598984,0.5270470092756867,0.5184222126179403,0.012851241619935649,0.021709418225901056
332.0,0.5632150292162824,25.54054054054054,50.34276280620727,0.5580152724930212,0.5578881081631065,0.0078014621686101895,0.007747596994095985
334.0,0.5410026841215868,25.3953488372093,47.26378955704146,0.5325020900333128,0.5348651445009721,0.009753693294253424,0.0072165362050843
336.0,0.5124885685091292,25.166666666666668,49.50875547472341,0.4188148530318871,0.41904828643219183,0.09490418742025993,0.09461236460444282
338.0,0.4696419472562841,25.18,50.30070659182063,0.44127880637903005,0.4442983724237234,0.02977154251028348,0.026705001355572754
340.0,0.48201757475268203,23.41860465116279,49.73946155872069,0.4722073660814753,0.4750637033153333,0.010350520216031053,0.00754832744884589
342.0,0.5676999971583486,23.583333333333332,51.269382714923545,0.5355751395859164,0.5378638904099649,0.03322741109503011,0.03117165002833639
344.0,0.5526493696190086,24.641025641025642,49.480647952386875,0.47010482377796065,0.4560490487253808,0.08332044277356566,0.09758850747066718
346.0,0.5191630097913725,25.2,48.082547232426,0.4834516264725999,0.48702116905013854,0.036840509898673726,0.03352204334540734
348.0,0.45482518663253374,24.02857142857143,51.3681566603295,0.447270623708599,0.4491198776898742,0.008450322340143233,0.006505099832143531
350.0,0.47700240920707515,26.87719298245614,49.83974568305539,0.4359309678045417,0.4331895003973605,0.04235166935958361,0.04507933756608614
352.0,0.46850051138943133,24.414634146341463,49.80596160638585,0.45955807304297686,0.4628063667270651,0.010451904982200697,0.007312609475741798
354.0,0.48844866930340863,21.372093023255815,47.68468777136384,0.4565029562219539,0.4559757383942688,0.032447754242651165,0.03323289171386826
356.0,0.46694257901272207,25.46153846153846,49.734750687382906,0.42176396555837103,0.423479967846485,0.04582814615019584,0.04418860112978473
358.0,0.4695455850065583,28.35135135135135,50.898860056704244,0.4131934383935768,0.41495899331042596,0.057575458161874836,0.05538861525759169
360.0,0.4962601803291803,24.2972972972973,47.86075986256743,0.4620408769283365,0.4594577107111189,0.03543300765388416,0.037906452793233264
362.0,0.5215255841230341,27.571428571428573,48.30401301005736,0.5131951890339963,0.5142362914813937,0.009503184488712652,0.008679965790301445
364.0,0.49779038850033747,28.263157894736842,49.912757565439584,0.44174835999923473,0.4437058357392232,0.0570975954461031,0.0550173238142016
366.0,0.5049723582031438,23.72972972972973,48.26643432281164,0.4151958505893238,0.4128623333262727,0.09086099996548982,0.0931747569777321
368.0,0.4558464183856107,25.72340425531915,49.67903929768428,0.42828138726890536,0.430921057205749,0.02876032281045494,0.026154572360104333
370.0,0.4512297520924591,20.484848484848484,51.59579660175897,0.44531241741362093,0.44620285245465535,0.0074840755875935595,0.006873622538723773
372.0,0.5152071616458938,24.482758620689655,49.55251722069641,0.47309478271800204,0.4698131339387328,0.0431172138109082,0.04646411081830288
374.0,0.4259881706399603,30.285714285714285,49.38900931380453,0.41827671758172086,0.4213142629466378,0.008219445947627997,0.005761465328647148
376.0,0.47931374608744276,22.23076923076923,52.20910500361275,0.4455566772310597,0.447978224183083,0.03439002656737113,0.03186959426896382
378.0,0.49056517491420365,24.658536585365855,50.55123179632137,0.4355804996101708,0.43827633008689504,0.05614395605633626,0.05355450749574053
380.0,0.5079688186117278,27.375,49.45538918965627,0.482781299732491,0.4834077503372441,0.026347151610171964,0.025767653189932505
382.0,0.5023595082469796,27.175,53.02609646224953,0.4691564169549075,0.471974167847714,0.0339507991328454,0.031185588547256737
384.0,0.5114434884778876,27.296296296296298,49.00249237355291,0.5058834915917729,0.5063788172592133,0.007334068796924143,0.006680996465954319
386.0,0.4458493362264964,27.0,49.448854336061956,0.41285160292426143,0.41659107672286655,0.03369642971002168,0.029869964981889208
388.0,0.48053533083261324,26.233333333333334,49.619094063315245,0.46868976920255107,0.47360554473391,0.013456249603414279,0.008294812348247442
390.0,0.4618262576687069,27.591836734693878,51.37894358171147,0.4345308742709479,0.43592092252467723,0.02819163940797371,0.026907104167915297
